no,Wamei,Family_JPN,新リスト学名,Species,APG.family,Class,group,Growthform,EveDec,ALT,Canopy openess,total LA,no of leaves (leaflet),LA mean (leaf let),Scanned leaf DW,Lamina DW,petiole DW,Lamina thickness,Whole leaf LMA,LDMC,LD LMA,TD
82,カギカズラ,アカネ,Uncaria rhynchophylla (Miq.) Miq.,Uncaria_rynchophylla,Rubiaceae,sp,angiosperm,W,E,281,100,174.791,8,21.848875,1.4333,1.3827,0.0506,0.2025,82.00078951,0.41556973,73.84789359,0.364680956
,,,,,,,,,,,,,,,,,,,,,,
83,アコウ,クワ,Ficus superba (Miq.) Miq.  var. japonica Miq.,Ficus_superba_var_japonica,Moraceae,var,angiosperm,W,E,246,100,160.445,4,40.11125,1.9788,1.789,0.1898,0.2495,123.3319829,0.408758521,106.9521218,0.428665819
,,,,,,,,,,,,,,,,,,,,,,
84,コバンモチ,ホルトノキ,Elaeocarpus japonicus Siebold et Zucc.,Elaeocarpus_japonicus,Elaeocarpaceae,sp,angiosperm,W,E,238,100,93.486,8,11.68575,1.4955,1.3606,0.1349,0.3625,159.9704769,0.437025132,140.6929697,0.388118537
,,,,,,,,,,,,,,,,,,,,,,
85,クロバイ,ハイノキ,Symplocos prunifolia Siebold et Zucc.,Symplocos_prunifolia,Symplocaceae,sp,angiosperm,W,E,238,100,83.192,10,8.3192,1.0651,1.0216,0.0435,0.2745,128.0291374,0.442317276,108.2253613,0.394263611
,,,,,,,,,,,,,,,,,,,,,,
86,モッコク,ツバキ,Ternstroemia gymnanthera (Wight et Arn.) Bedd.,Ternstroemia_gymnanthera,Theaceae,sp,angiosperm,W,E,238,100,73.446,11,6.676909091,1.3715,1.3387,0.0328,0.6545,186.7358331,0.389630682,178.2535363,0.272350705
,,,,,,,,,,,,,,,,,,,,,,
87,ハナガサノキ,アカネ,Morinda umbellata L.  subsp. obovata Y.Z.Ruan,Morinda_umbellata,Rubiaceae,sp,angiosperm,W,D,233,40,124.401,8,15.550125,0.7711,0.7385,0.0326,0.2135,61.98503227,0.323312369,50.29296202,0.235564225
,,,,,,,,,,,,,,,,,,,,,,
88,ウラジロエノキ,ニレ,Trema orientalis (L.) Blume,Trema_orientalis,Ulmaceae,sp,angiosperm,W,E,164,100,187.525,10,18.7525,2.044,1.9812,0.0628,0.332,108.9988002,0.372924649,98.03944494,0.295299533
,,,,,,,,,,,,,,,,,,,,,,
