Species,Family,Growth_form,Leaf_habit,Leaf_type,Location,Biomes,Data contributor,ID,Rep,Saturated_weight_leaf,Thickness1_leaf,Thickness2_leaf,Thickness3_leaf,Leaf_area_leaf,Dry_mass_leaf,LTleaf,LDMCleaf,LMAleaf,LDleaf,Saturated_weight_disc,Thickness1_disc,Thickness2_disc,Thickness3_disc,Leaf_area_disc,Dry_mass_disc,LTdisc,LDMCdisc,LMAdisc,LDdisc
Hartia sinensis,Theaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,156,5,,,,,,,,,,,,,,,,,,,,
Hartia sinensis,Theaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,156,6,,,,,,,,,,,,,,,,,,,,
Illicium macranthum,Schisandraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,157,1,,,,,,,,,,,,,,,,,,,,
Illicium macranthum,Schisandraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,157,2,,,,,,,,,,,,,,,,,,,,
Illicium macranthum,Schisandraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,157,3,,,,,,,,,,,,,,,,,,,,
Illicium macranthum,Schisandraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,157,4,,,,,,,,,,,,,,,,,,,,
Illicium macranthum,Schisandraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,157,5,,,,,,,,,,,,,,,,,,,,
Illicium macranthum,Schisandraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,157,6,,,,,,,,,,,,,,,,,,,,
Symplocos ramosissima,Symplocaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,158,1,,,,,,,,,,,,,,,,,,,,
Symplocos ramosissima,Symplocaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,158,2,,,,,,,,,,,,,,,,,,,,
Symplocos ramosissima,Symplocaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,158,3,,,,,,,,,,,,,,,,,,,,
Symplocos ramosissima,Symplocaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,158,4,,,,,,,,,,,,,,,,,,,,
Symplocos ramosissima,Symplocaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,158,5,,,,,,,,,,,,,,,,,,,,
Symplocos ramosissima,Symplocaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,158,6,,,,,,,,,,,,,,,,,,,,
Machilus salicina,Lauraceae,S,E,single,Ailao_canopy,STF,Chen Yajun,159,1,,,,,,,,,,,,,,,,,,,,
Machilus salicina,Lauraceae,S,E,single,Ailao_canopy,STF,Chen Yajun,159,2,,,,,,,,,,,,,,,,,,,,
Machilus salicina,Lauraceae,S,E,single,Ailao_canopy,STF,Chen Yajun,159,3,,,,,,,,,,,,,,,,,,,,
Machilus salicina,Lauraceae,S,E,single,Ailao_canopy,STF,Chen Yajun,159,4,,,,,,,,,,,,,,,,,,,,
Machilus salicina,Lauraceae,S,E,single,Ailao_canopy,STF,Chen Yajun,159,5,,,,,,,,,,,,,,,,,,,,
Machilus salicina,Lauraceae,S,E,single,Ailao_canopy,STF,Chen Yajun,159,6,,,,,,,,,,,,,,,,,,,,
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_canopy,STF,Chen Yajun,160,1,,,,,,,,,,,,,,,,,,,,
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_canopy,STF,Chen Yajun,160,2,,,,,,,,,,,,,,,,,,,,
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_canopy,STF,Chen Yajun,160,3,,,,,,,,,,,,,,,,,,,,
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_canopy,STF,Chen Yajun,160,4,,,,,,,,,,,,,,,,,,,,
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_canopy,STF,Chen Yajun,160,5,,,,,,,,,,,,,,,,,,,,
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_canopy,STF,Chen Yajun,160,6,,,,,,,,,,,,,,,,,,,,
