no,Species,APG.family,Growthform,EveDec,LA mean (leaf let),Scanned leaf DW,Lamina DW,petiole DW,Lamina thickness,Whole leaf LMA,LD LMA,TD
192,Myrica_rubra,Primulaceae,W,E,10.8954,1.3802,,,0.2955,126.6773134,110.1352206,0.372708022
,,,,,,,,,,,,
193,Daphniphyllum_teijsmannii,Daphniphyllaceae,W,E,33.123,3.2365,,,0.5005,162.8525999,116.5014183,0.232770067
,,,,,,,,,,,,
194,Symplocos_kuroki,Symplocaceae,W,E,7.954333333,1.8197,,,0.3515,152.5122575,123.5042358,0.351363402
,,,,,,,,,,,,
195,Neolitsea_sericea,Lauraceae,W,E,22.09325,1.9863,,,0.257,112.3816098,105.0422624,0.408724757
,,,,,,,,,,,,
196,Cinnamomum_camphora,Lauraceae,W,E,18.4995,1.4658,,,0.243,99.04321738,95.49296586,0.392975168
,,,,,,,,,,,,
199,Pinus_thunbergii,Pinaceae,W,E,1.457375,0.5154,,,0.8705,221.0309632,,
,,,,,,,,,,,,
200,Glochidion_obovatum,Euphorbiaceae,W,D,9.4119,1.2308,,,0.316,130.7706202,126.0507149,0.398894667
,,,,,,,,,,,,
201,Glochidion_obovatum,Euphorbiaceae,W,D,8.41625,1.1307,,,0.2725,111.9560374,113.9549393,0.418183263
,,,,,,,,,,,,
203,Rhaphiolepis_indica_var_umbellata,Rosaceae,W,E,9.477333333,2.5047,,,0.499,220.2360017,205.6281865,0.412080534
,,,,,,,,,,,,
204,Eurya_japonica,Theaceae,W,E,7.201466667,1.292,,,0.3755,119.6052656,124.1408556,0.33060148
,,,,,,,,,,,,
205,Lithocarpus_edulis,Fagaceae,W,E,17.49657143,2.1138,,,0.459,172.5889154,144.5126883,0.314842458
,,,,,,,,,,,,
206,Styrax_ japonica,Styracaceae,W,D,32.55683333,1.605,,,0.2525,82.16401063,72.57465405,0.287424372
,,,,,,,,,,,,
210,Quercus_phillyraeoides,Fagaceae,W,E,6.807166667,1.4895,,,0.3905,182.3445878,174.4338176,0.446693515
,,,,,,,,,,,,
215,Melia_azedarach,Meliaceae,W,D,3.42571875,0.7397,,,0.1975,67.47671565,80.21409132,0.406147298
,,,,,,,,,,,,
216,Quercus_phillyraeoides,Fagaceae,W,E,4.264833333,1.4695,,,0.371,191.4233981,,
,,,,,,,,,,,,
218,Quercus_salicina,Fagaceae,W,E,29.9515,2.1504,,,0.246,119.6601172,111.4084602,0.452879919
,,,,,,,,,,,,
221,Cinnamomum_tenuifolium,Lauraceae,W,E,10.3411,1.4591,,,0.333,141.0971753,143.2394488,0.430148495
,,,,,,,,,,,,
