Species,Family,Growth_form,Leaf_habit,Leaf_type,Location,Biomes,Data contributor,ID,Rep,Leaf_area_leaf,Dry_mass_leaf,LTleaf,LMAleaf,LDleaf,Leaf_area_disc,Dry_mass_disc,LTdisc,LMAdisc,LDdisc
Rhododendron delavayi,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,116,4,32.495,0.4286,0.432333333,131.897215,0.305082224,0.889,0.0121,0.526333333,136.1079865,0.258596554
Rhododendron delavayi,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,116,5,40.32,0.7252,0.478333333,179.8611111,0.37601626,0.889,0.0091,0.399666667,102.3622047,0.256118944
Rhododendron delavayi,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,116,6,47.139,0.7493,0.479,158.9554297,0.331848496,0.889,0.0089,0.403333333,100.1124859,0.248212775
Vaccinium duclouxii,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,117,1,22.372,0.3875,0.450333333,173.2075809,0.384620831,0.889,0.0119,0.386666667,133.8582677,0.346185175
Vaccinium duclouxii,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,117,2,21.563,0.3626,0.445,168.1584195,0.377884089,0.889,0.0102,0.34,114.735658,0.337457818
Vaccinium duclouxii,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,117,3,12.981,0.3036,0.488666667,233.8802866,0.478609045,0.889,0.0143,0.400333333,160.8548931,0.401802398
Vaccinium duclouxii,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,117,4,15.284,0.3578,0.474666667,234.1010207,0.493190353,0.889,0.0151,0.403666667,169.8537683,0.420777295
Vaccinium duclouxii,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,117,5,16.409,0.2575,0.431,156.9260772,0.364097627,0.889,0.0208,0.542,233.9707537,0.431680357
Vaccinium duclouxii,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,117,6,16.036,0.2505,0.449333333,156.2110252,0.34765065,0.889,0.0217,0.510333333,244.0944882,0.478304026
Lithocarpus hancei,Fagaceae,T,E,single,Ailao_underground,STF,Chen Yajun,118,1,20.554,0.2403,0.285333333,116.9115501,0.409736741,0.889,0.0083,0.283,93.36332958,0.329905758
Lithocarpus hancei,Fagaceae,T,E,single,Ailao_underground,STF,Chen Yajun,118,2,21.288,0.2297,0.267666667,107.901165,0.403117677,0.889,0.0076,0.264,85.48931384,0.323823158
Lithocarpus hancei,Fagaceae,T,E,single,Ailao_underground,STF,Chen Yajun,118,3,17.786,0.1875,0.266666667,105.4199933,0.395324975,0.889,0.0093,0.311666667,104.6119235,0.335653231
Lithocarpus hancei,Fagaceae,T,E,single,Ailao_underground,STF,Chen Yajun,118,4,24.179,0.3114,0.327666667,128.7894454,0.393050189,0.889,0.0098,0.314666667,110.2362205,0.350326972
Lithocarpus hancei,Fagaceae,T,E,single,Ailao_underground,STF,Chen Yajun,118,5,23.522,0.2866,0.301,121.8433807,0.404795285,0.889,0.0074,0.266333333,83.23959505,0.312539155
Lithocarpus hancei,Fagaceae,T,E,single,Ailao_underground,STF,Chen Yajun,118,6,48.273,0.5804,0.289,120.2328424,0.416030596,0.889,0.0065,0.273333333,73.11586052,0.267497051
Ilex polyneura,Aquifoliaceae,T,D,single,Ailao_underground,STF,Chen Yajun,119,1,33.447,0.306,0.211333333,91.48802583,0.43290864,0.889,0.0083,0.224,93.36332958,0.416800578
Ilex polyneura,Aquifoliaceae,T,D,single,Ailao_underground,STF,Chen Yajun,119,2,34.878,0.3578,0.232666667,102.5861575,0.440914717,0.889,0.0065,0.199666667,73.11586052,0.366189619
Ilex polyneura,Aquifoliaceae,T,D,single,Ailao_underground,STF,Chen Yajun,119,3,25.34,0.2614,0.219333333,103.1570639,0.47032096,0.889,0.0071,0.222,79.86501687,0.359752328
Ilex polyneura,Aquifoliaceae,T,D,single,Ailao_underground,STF,Chen Yajun,119,4,32.986,0.3391,0.263,102.8011884,0.390879043,0.889,0.0057,0.206333333,64.11698538,0.310744679
Ilex polyneura,Aquifoliaceae,T,D,single,Ailao_underground,STF,Chen Yajun,119,5,28.643,0.2782,0.231,97.12669762,0.420461894,0.889,0.0061,0.210333333,68.61642295,0.32622705
Ilex polyneura,Aquifoliaceae,T,D,single,Ailao_underground,STF,Chen Yajun,119,6,37.311,0.3101,0.200666667,83.11221892,0.414180493,0.889,0.0059,0.236,66.36670416,0.281214848
Betula alnoides,Betulaceae,T,D,single,Ailao_underground,STF,Chen Yajun,120,1,50.659,0.3473,0.186,68.5564263,0.368582937,0.889,0.0025,0.13,28.12148481,0.216319114
Betula alnoides,Betulaceae,T,D,single,Ailao_underground,STF,Chen Yajun,120,2,56.13,0.2912,0.167,51.87956529,0.31065608,0.889,0.0035,0.116666667,39.37007874,0.337457818
Betula alnoides,Betulaceae,T,D,single,Ailao_underground,STF,Chen Yajun,120,3,48.944,0.2458,0.160333333,50.22066035,0.313226572,0.889,0.0042,0.179666667,47.24409449,0.262954144
Betula alnoides,Betulaceae,T,D,single,Ailao_underground,STF,Chen Yajun,120,4,47.529,0.3492,0.19,73.47093354,0.386689124,0.889,0.0028,0.147333333,31.49606299,0.213774183
