id,species,family,growth_form,leaf_habit,leaf_type,location,biomes,data_contributor,lma_disc,lma_leaf,ld_disc,ld_leaf,lt,lt_disc,la,dry_mass_disc2,dry_mass_disc
119-1,Ilex polyneura,Aquifoliaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,98.9783411467217,91.48802583,0.416800578,0.43290864,0.211333333,0.224,33.447,0.0029330581759811868,0.00879917452794356
119-2,Ilex polyneura,Aquifoliaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,77.51315873523585,102.5861575,0.366189619,0.440914717,0.232666667,0.199666667,34.878,0.0022969732705208227,0.006890919811562468
119-3,Ilex polyneura,Aquifoliaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,84.66821953553067,103.1570639,0.359752328,0.47032096,0.219333333,0.222,25.34,0.0025090015722362253,0.007527004716708676
119-4,Ilex polyneura,Aquifoliaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,67.97307766110849,102.8011884,0.310744679,0.390879043,0.263,0.206333333,32.986,0.0020142688680241817,0.006042806604072545
119-5,Ilex polyneura,Aquifoliaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,72.74311819817218,97.12669762,0.32622705,0.420461894,0.231,0.210333333,28.643,0.002155621069272502,0.006466863207817507
119-6,Ilex polyneura,Aquifoliaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,70.35809792433963,83.11221892,0.281214848,0.414180493,0.200666667,0.236,37.311,0.0020849449684912646,0.006254834905473794
120-1,Betula alnoides,Betulaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,29.812753353997643,68.5564263,0.216319114,0.368582937,0.186,0.13,50.659,8.834512577234635e-4,0.0026503537731703904
120-2,Betula alnoides,Betulaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,41.737854701957545,51.87956529,0.337457818,0.31065608,0.167,0.116666667,56.13,0.001236831761001342,0.0037104952830040263
120-3,Betula alnoides,Betulaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,50.085425644469346,50.22066035,0.262954144,0.313226572,0.160333333,0.179666667,48.944,0.0014841981132644418,0.004452594339793325
120-4,Betula alnoides,Betulaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,33.39028375944575,73.47093354,0.213774183,0.386689124,0.19,0.147333333,47.529,9.894654087382424e-4,0.0029683962262147274
120-5,Betula alnoides,Betulaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,36.96781416489387,60.67385445,0.184175922,0.340227221,0.178333333,0.189333333,74.2,0.0010954795597530218,0.0032864386792590653
120-6,Betula alnoides,Betulaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,40.54534457034199,62.29929351,0.21566853,0.337970851,0.184333333,0.177333333,68.508,0.0012014937107678008,0.0036044811323034027
121-1,Rosa longicuspis,Rosaceae,liana,evergreen,compound,Ailao_understory,STF,Chen Yajun,91.8232803464269,127.4485798,0.376038379,0.413346745,0.308333333,0.230333333,8.168,0.002721029874265784,0.008163089622797352
121-2,Rosa longicuspis,Rosaceae,liana,evergreen,compound,Ailao_understory,STF,Chen Yajun,93.01579047804246,76.87363414,0.380921994,0.327586509,0.234666667,0.230333333,7.779,0.002756367924499325,0.008269103773497976
121-3,Rosa longicuspis,Rosaceae,liana,evergreen,compound,Ailao_understory,STF,Chen Yajun,109.71093234186321,58.90820507,0.376316597,0.282759384,0.208333333,0.275,9.031,0.003251100628397213,0.00975330188519164
121-4,Rosa longicuspis,Rosaceae,liana,evergreen,compound,Ailao_understory,STF,Chen Yajun,112.09595262629716,76.07524654,0.397009197,0.337612041,0.225333333,0.266333333,12.067,0.003321776729492606,0.009965330188477818
121-5,Rosa longicuspis,Rosaceae,liana,evergreen,compound,Ailao_understory,STF,Chen Yajun,121.63603365801887,89.88999476,0.429185753,0.327269398,0.274666667,0.267333333,9.545,0.003604481130732626,0.010813443392197879
121-6,Rosa longicuspis,Rosaceae,liana,evergreen,compound,Ailao_understory,STF,Chen Yajun,127.59858436910378,96.61292338,0.485975592,0.333148012,0.29,0.247666667,8.001,0.003781171383471109,0.011343514150413327
122-1,Symplocos sumuntia,Symplocaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,64.39554725566038,118.25054,0.218497868,0.306084228,0.386333333,0.278,16.668,0.0019082547170094024,0.0057247641510282075
122-2,Symplocos sumuntia,Symplocaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,84.66821953553067,128.1005922,0.275713522,0.318394181,0.402333333,0.289666667,23.302,0.0025090015722362253,0.007527004716708676
122-3,Symplocos sumuntia,Symplocaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,113.28846276851417,145.1257389,0.275180195,0.351110659,0.413333333,0.388333333,19.962,0.003357114780040303,0.01007134434012091
122-4,Symplocos sumuntia,Symplocaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,104.94089182600237,131.3349815,0.259582937,0.303080726,0.433333333,0.381333333,22.652,0.0031097484277772037,0.009329245283331612
122-5,Symplocos sumuntia,Symplocaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,102.55587155216982,132.8260451,0.2714815,0.317765658,0.418,0.356333333,20.764,0.0030390723269959658,0.009117216980987898
122-6,Symplocos sumuntia,Symplocaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,107.32591205742925,131.4931687,0.26363892,0.329281725,0.399333333,0.384,28.838,0.00318042452730182,0.00954127358190546
123-1,Ilex szechwanensis,Aquifoliaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,87.0532398093632,104.9475262,0.269818409,0.365246611,0.287333333,0.304333333,14.007,0.002579677673017463,0.00773903301905239
123-2,Ilex szechwanensis,Aquifoliaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,89.43826007259436,91.48421951,0.279661175,0.334290692,0.273666667,0.301666667,14.068,0.002650353773484546,0.007951061320453638
123-3,Ilex szechwanensis,Aquifoliaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,83.47570940391509,104.106761,0.27027514,0.356937466,0.291666667,0.29133333300000003,13.563,0.002473663522002684,0.007420990566008053
123-4,Ilex szechwanensis,Aquifoliaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,94.20830060965802,98.02102659,0.296542465,0.358613512,0.273333333,0.299666667,12.936,0.0027917059747328663,0.0083751179241986
123-5,Ilex szechwanensis,Aquifoliaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,115.67348305294811,100.3646973,0.344562193,0.385030808,0.260666667,0.316666667,13.71,0.0034277908811356957,0.010283372643407087
123-6,Ilex szechwanensis,Aquifoliaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,97.78583101510614,108.056266,0.277826717,0.373466357,0.289333333,0.332,12.512,0.0028977201257476457,0.008693160377242937
