Species,Family,Growthform,EveDec,LeafType,Location,Garden,MAT,MAP,Biomes,Contributor,LMAdisc,LMAleaf,LDdisc,LDleaf,LDMCdisc,LDMCleaf,LTleaf,LTdisc,LAleaf
Parashorea chinensis,Dipterocarpaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,73.14062157361046,81.015800455,0.33744900883333334,0.36182564066666667,0.46145424333333335,0.3742590646666667,0.22394444433333333,0.20527777766666666,58.8885
Combretum latifolium,Combretaceae,L,D,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,94.00954892105544,74.54139793666667,0.393007848,0.3181453748333333,0.4720827063333333,0.3295080205,0.23572222216666666,0.22611111116666666,80.08716666666666
Lithocarpus craibianus,Fagaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,79.10317224405661,83.06212117166666,0.34380784833333333,0.3943238095,0.408064703,0.4013546895,0.21161111083333334,0.2180555555,61.038833333333336
Duabanga grandiflora,Lythraceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,129.18859788675906,139.10042215000001,0.3624522331666667,0.44186768483333333,0.49855134216666663,0.40027214883333334,0.3144999998333333,0.335888889,297.4111666666667
Croton tiglium spp. A,Euphorbiaceae,T,D,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,55.84922462454599,68.23021219333333,0.27057279866666667,0.36797078633333336,0.321978725,0.3258091085,0.18533333333333335,0.1949444445,88.7085
Croton tiglium spp. B,Euphorbiaceae,T,D,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,72.34561481389939,49.91461734833333,0.3206750136666667,0.27312938816666665,0.504213044,0.2654137013333333,0.18377777783333332,0.21622222216666667,64.524
Fissistigma polyanthum,Annonaceae,L,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,86.05948136104954,75.22182178166666,0.3583649405,0.3547597358333333,0.47854466316666666,0.4225645143333333,0.21238888883333334,0.22816666666666668,45.6255
Cleidion brevipetiolatum,Euphorbiaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,58.830499962419424,66.43991157166667,0.2805166985,0.341724134,0.3993854995,0.35839459383333333,0.1944444445,0.19894444449999998,88.95666666666666
Uncaria laevigata,Rubiaceae,L,D,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,69.76184286029874,75.16579348,0.3771303968333333,0.411733437,0.3762201428333333,0.3811664558333333,0.18238888883333335,0.17483333316666666,65.957
Aglaia lawii,Meliaceae,T,D,C,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,110.9034424929147,117.29045357166666,0.3119019615,0.3645608831666667,0.3437686925,0.32667623133333334,0.32177777766666665,0.3363333335,151.728
Sargentodoxa cuneata,Lardizabalaceae,L,D,C,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,76.0225210671826,81.0501093,0.2624876205,0.28484915391666665,0.42391268875,0.31958942383333333,0.2974722221666667,0.29055555558333335,60.52125
Garuga pinnata,Burseraceae,T,D,C,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,73.93562832978773,91.7615691,0.399151751,0.5218917613333333,0.45994411366666665,0.4208255106666667,0.17583333333333334,0.1753,36.29833333333333
